acq_date,fires,frp,scan,brightness,max_t,month_sin,month_cos
1046.0,2003-09-13,35.0,3397.0,41.8,353.54285714285714,32.8,-1.0,-1.8369701987210297e-16
1047.0,2003-09-14,127.0,17830.4,205.8,353.40944881889766,30.4,-1.0,-1.8369701987210297e-16
1048.0,2003-09-15,131.0,17821.9,230.1,347.4610687022901,26.0,-1.0,-1.8369701987210297e-16
1049.0,2003-09-16,165.0,34735.0,236.2,364.0387878787879,24.2,-1.0,-1.8369701987210297e-16
1050.0,2003-09-17,121.0,19759.7,199.9,358.4578512396694,28.1,-1.0,-1.8369701987210297e-16
1051.0,2003-09-18,132.0,23754.6,188.8,361.5901515151516,30.3,-1.0,-1.8369701987210297e-16
1052.0,2003-09-19,153.0,33399.4,229.5,362.4647058823529,29.7,-1.0,-1.8369701987210297e-16
1053.0,2003-09-20,145.0,23830.8,230.8,358.5179310344828,32.0,-1.0,-1.8369701987210297e-16
1054.0,2003-09-21,129.0,39401.3,230.3,370.67674418604656,25.5,-1.0,-1.8369701987210297e-16
1055.0,2003-09-22,78.0,17969.8,113.8,369.25,27.8,-1.0,-1.8369701987210297e-16
1056.0,2003-09-23,91.0,36838.9,180.0,355.7857142857143,29.5,-1.0,-1.8369701987210297e-16
1057.0,2003-09-24,123.0,35778.7,193.5,362.05853658536586,30.0,-1.0,-1.8369701987210297e-16
1058.0,2003-09-25,105.0,12278.0,147.6,354.48571428571427,30.5,-1.0,-1.8369701987210297e-16
1059.0,2003-09-26,100.0,10596.8,137.7,345.561,30.6,-1.0,-1.8369701987210297e-16
1060.0,2003-09-27,129.0,20081.0,188.2,360.2248062015504,33.8,-1.0,-1.8369701987210297e-16
1061.0,2003-09-28,93.0,15335.6,140.2,358.31612903225806,22.7,-1.0,-1.8369701987210297e-16
1062.0,2003-09-29,110.0,22427.6,182.5,364.0436363636364,25.2,-1.0,-1.8369701987210297e-16
1063.0,2003-09-30,91.0,12437.1,119.8,357.4549450549451,24.0,-1.0,-1.8369701987210297e-16
1064.0,2003-10-01,58.0,11065.2,80.60000000000001,365.8344827586207,22.4,-0.8660254037844386,0.5000000000000001
1065.0,2003-10-02,140.0,15386.1,179.9,356.0278571428572,24.0,-0.8660254037844386,0.5000000000000001
1066.0,2003-10-03,186.0,30355.2,301.9,357.9489247311828,27.7,-0.8660254037844386,0.5000000000000001
1067.0,2003-10-04,247.0,41966.7,374.1,360.6097165991904,23.4,-0.8660254037844386,0.5000000000000001
1068.0,2003-10-05,269.0,42553.9,392.9,360.4780669144982,24.2,-0.8660254037844386,0.5000000000000001
1069.0,2003-10-06,118.0,13335.7,162.3,352.8033898305085,24.3,-0.8660254037844386,0.5000000000000001
1070.0,2003-10-07,73.0,7105.1,89.5,353.2753424657534,21.7,-0.8660254037844386,0.5000000000000001
1071.0,2003-10-08,90.0,15061.4,147.7,350.07888888888886,24.9,-0.8660254037844386,0.5000000000000001
1072.0,2003-10-09,238.0,46034.9,367.2,361.14621848739495,28.7,-0.8660254037844386,0.5000000000000001
1073.0,2003-10-10,223.0,39233.5,399.8,355.7354260089686,25.0,-0.8660254037844386,0.5000000000000001
1074.0,2003-10-11,308.0,46066.8,448.3,358.1834415584416,25.0,-0.8660254037844386,0.5000000000000001
1075.0,2003-10-12,223.0,41916.1,314.4,361.96860986547085,23.5,-0.8660254037844386,0.5000000000000001
1076.0,2003-10-13,209.0,28178.2,305.1,354.78755980861246,23.7,-0.8660254037844386,0.5000000000000001
1077.0,2003-10-14,210.0,22387.2,278.3,356.1642857142857,22.9,-0.8660254037844386,0.5000000000000001
1078.0,2003-10-15,123.0,13247.9,190.9,351.349593495935,24.7,-0.8660254037844386,0.5000000000000001
1079.0,2003-10-16,122.0,14665.6,174.1,348.22704918032787,26.3,-0.8660254037844386,0.5000000000000001
1080.0,2003-10-17,163.0,29321.6,233.8,361.8871165644172,23.6,-0.8660254037844386,0.5000000000000001
1081.0,2003-10-18,89.0,17204.7,141.6,358.2247191011236,25.0,-0.8660254037844386,0.5000000000000001
1082.0,2003-10-19,248.0,45151.5,385.2,357.8153225806452,25.1,-0.8660254037844386,0.5000000000000001
1083.0,2003-10-20,127.0,33399.6,248.5,365.115748031496,22.4,-0.8660254037844386,0.5000000000000001
1084.0,2003-10-21,234.0,28840.6,327.5,353.9260683760684,29.0,-0.8660254037844386,0.5000000000000001
1085.0,2003-10-22,283.0,60367.0,463.3,363.3434628975265,33.2,-0.8660254037844386,0.5000000000000001
1086.0,2003-10-23,309.0,82951.5,534.7,362.09967637540456,28.0,-0.8660254037844386,0.5000000000000001
1087.0,2003-10-24,300.0,64688.0,504.8,364.809,30.8,-0.8660254037844386,0.5000000000000001
1088.0,2003-10-25,408.0,96271.9,615.1,368.24607843137255,28.2,-0.8660254037844386,0.5000000000000001
1089.0,2003-10-26,173.0,32919.3,314.4,354.88439306358384,31.1,-0.8660254037844386,0.5000000000000001
1090.0,2003-10-27,311.0,48590.9,501.2,356.816077170418,27.6,-0.8660254037844386,0.5000000000000001
1091.0,2003-10-28,347.0,63958.9,543.0,360.6037463976945,31.2,-0.8660254037844386,0.5000000000000001
1092.0,2003-10-29,387.0,60334.0,579.7,360.5695090439276,35.0,-0.8660254037844386,0.5000000000000001
1093.0,2003-10-30,391.0,59634.9,541.8,359.1447570332481,30.9,-0.8660254037844386,0.5000000000000001
1094.0,2003-10-31,406.0,67481.7,636.2,358.31428571428575,26.8,-0.8660254037844386,0.5000000000000001
1095.0,2003-11-01,218.0,24445.9,308.8,352.294495412844,30.3,-0.5000000000000004,0.8660254037844384
1096.0,2003-11-02,268.0,47907.0,433.1,356.8570895522388,29.5,-0.5000000000000004,0.8660254037844384
1097.0,2003-11-03,345.0,51459.9,506.6,359.21565217391304,24.6,-0.5000000000000004,0.8660254037844384
1098.0,2003-11-04,354.0,62428.3,568.8,357.419209039548,25.4,-0.5000000000000004,0.8660254037844384
1099.0,2003-11-05,360.0,71713.3,608.9,361.39472222222224,25.8,-0.5000000000000004,0.8660254037844384
1100.0,2003-11-06,379.0,69708.5,619.1,357.6744063324538,27.4,-0.5000000000000004,0.8660254037844384
1101.0,2003-11-07,318.0,67577.6,492.6,364.9050314465409,27.7,-0.5000000000000004,0.8660254037844384
1102.0,2003-11-08,410.0,83680.2,647.1,361.8609756097561,24.4,-0.5000000000000004,0.8660254037844384
1103.0,2003-11-09,313.0,64867.6,506.4,363.97603833865816,26.6,-0.5000000000000004,0.8660254037844384
1104.0,2003-11-10,113.0,17391.7,189.6,356.0893805309734,26.2,-0.5000000000000004,0.8660254037844384
1105.0,2003-11-11,96.0,11981.8,133.0,355.6770833333333,27.0,-0.5000000000000004,0.8660254037844384
1106.0,2003-11-12,131.0,18999.4,197.0,360.1381679389313,29.2,-0.5000000000000004,0.8660254037844384
1107.0,2003-11-13,206.0,35080.0,318.9,349.7742718446602,25.7,-0.5000000000000004,0.8660254037844384
1108.0,2003-11-14,92.0,19576.4,117.9,374.0576086956522,26.3,-0.5000000000000004,0.8660254037844384
1109.0,2003-11-15,117.0,32685.9,195.3,361.31111111111113,26.9,-0.5000000000000004,0.8660254037844384
1110.0,2003-11-16,217.0,44386.4,357.1,357.2225806451613,28.4,-0.5000000000000004,0.8660254037844384
1111.0,2003-11-17,164.0,27070.0,281.1,350.6146341463415,28.9,-0.5000000000000004,0.8660254037844384
1112.0,2003-11-18,160.0,27338.6,223.9,360.02875,26.9,-0.5000000000000004,0.8660254037844384
1113.0,2003-11-19,243.0,75570.3,322.5,384.122633744856,30.0,-0.5000000000000004,0.8660254037844384
1114.0,2003-11-20,139.0,37457.5,222.0,365.2985611510791,29.4,-0.5000000000000004,0.8660254037844384
1115.0,2003-11-21,86.0,11285.5,109.6,361.7186046511628,29.0,-0.5000000000000004,0.8660254037844384
1116.0,2003-11-22,133.0,20813.8,175.7,368.2255639097745,32.4,-0.5000000000000004,0.8660254037844384
1117.0,2003-11-23,73.0,9948.8,119.1,353.54794520547944,30.9,-0.5000000000000004,0.8660254037844384
1118.0,2003-11-24,239.0,53346.0,450.8,355.81799163179915,29.5,-0.5000000000000004,0.8660254037844384
1119.0,2003-11-25,367.0,49962.4,544.5,351.4128065395095,27.5,-0.5000000000000004,0.8660254037844384
1120.0,2003-11-26,170.0,32039.3,257.8,360.41,27.5,-0.5000000000000004,0.8660254037844384
1121.0,2003-11-27,198.0,23096.9,314.2,347.4989898989899,27.4,-0.5000000000000004,0.8660254037844384
1122.0,2003-11-28,148.0,38358.2,262.0,360.102027027027,26.7,-0.5000000000000004,0.8660254037844384
1123.0,2003-11-29,146.0,22791.5,232.2,351.28356164383564,26.7,-0.5000000000000004,0.8660254037844384
1124.0,2003-11-30,83.0,11475.4,106.6,363.49397590361446,27.9,-0.5000000000000004,0.8660254037844384
1125.0,2003-12-01,89.0,10479.8,119.2,351.02921348314607,28.1,-2.4492935982947064e-16,1.0
1126.0,2003-12-02,101.0,18668.6,155.4,364.96732673267326,28.7,-2.4492935982947064e-16,1.0
1127.0,2003-12-03,45.0,5661.8,62.0,356.47777777777776,27.5,-2.4492935982947064e-16,1.0
1128.0,2003-12-04,40.0,5561.8,56.5,364.9525,27.2,-2.4492935982947064e-16,1.0
1129.0,2003-12-05,26.0,2074.6,34.6,346.5884615384615,25.0,-2.4492935982947064e-16,1.0
1130.0,2003-12-06,81.0,11828.4,122.5,351.00493827160494,22.1,-2.4492935982947064e-16,1.0
1131.0,2003-12-07,311.0,62059.6,506.7,364.3556270096463,26.2,-2.4492935982947064e-16,1.0
1132.0,2003-12-08,216.0,38509.2,393.5,345.3398148148148,27.4,-2.4492935982947064e-16,1.0
1133.0,2003-12-09,173.0,27520.4,252.4,363.6028901734104,28.9,-2.4492935982947064e-16,1.0
1134.0,2003-12-10,71.0,7247.0,83.3,356.5492957746479,28.1,-2.4492935982947064e-16,1.0
1135.0,2003-12-11,65.0,9516.3,100.0,357.49538461538464,29.8,-2.4492935982947064e-16,1.0
